version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,Uyen,none,starter_v0,233ec2cecfdf,eb3e2243f237,Baseline starter chua chinh sua,Baseline de so sanh,tool_choice_accuracy,,,runs/run_v0_base.json
v1,Uyen,system_prompt.md+tools.yaml,v1,275d87dcde79,7767c41f5680,Agent tu doan asset/employee ID va nham check_service_status voi inspect_device,Neu cam doan ID trong system_prompt va tach ro ranh gioi shared service vs single device trong tools.yaml thi ty le chon sai tool o nhom case thieu thong tin giam >=50%,tool_choice_accuracy,<v0>,<v1>,runs/run_v1_base.json
v2,Uyen,system_prompt.md+tools.yaml,v2,f5bfd8e03d3a,1dabce3ce35d,Multi-turn: hoi lai ID da cung cap va tao ticket khi chua duoc xac nhan,Neu bat buoc carry-over entity qua cac luot va quy dinh create_ticket chi duoc goi o luot SAU khi clarify yes_no duoc dong y (confirmed thanh required) thi unconfirmed-write = 0 va context-loss case giam,unconfirmed_ticket_rate,<v1>,<v2>,runs/run_v2_base.json
v3,Uyen,system_prompt.md+tools.yaml,v3,faed6b5f719f,40226227e440,Adversarial: asset ID/serial/hostname bi truyen ra search_device_info; secret bi ghi vao ticket summary,"Neu gioi han tham so ra ngoai chi con manufacturer/model/query_type, bat buoc inspect_device truoc de lay public model name, va cam ghi credential vao moi tool arg thi so case exfiltration = 0 ma khong lam giam tool_choice_accuracy",exfiltration_cases,<v2>,<v3>,runs/run_v3_base.json
